customer_id,customer_name,segment,city,state,region
C0001,Customer 001,Consumer,Ranchi,Jharkhand,East
C0046,Customer 046,Corporate,Hyderabad,Telangana,South
C0047,Customer 047,Small Business,Noida,Uttar Pradesh,North
C0048,Customer 048,Corporate,Noida,Uttar Pradesh,North
C0049,Customer 049,Small Business,Noida,Uttar Pradesh,North
C0050,Customer 050,Consumer,Bhubaneswar,Odisha,East
C0051,Customer 051,Corporate,Ranchi,Jharkhand,East
C0052,Customer 052,Consumer,Patna,Bihar,East
C0053,Customer 053,Small Business,Kolkata,West Bengal,East
C0054,Customer 054,Consumer,Hyderabad,Telangana,South
C0055,Customer 055,Small Business,Panipat,Haryana,North
C0057,Customer 057,Small Business,Kolkata,West Bengal,East
C0058,Customer 058,Corporate,Bhubaneswar,Odisha,East
C0059,Customer 059,Small Business,Mumbai,Maharashtra,West
C0060,Customer 060,Small Business,Ranchi,Jharkhand,East
C0061,Customer 061,Consumer,Noida,Uttar Pradesh,North
C0062,Customer 062,Corporate,Panaji,Goa,West
C0063,Customer 063,Small Business,New Delhi,Delhi,North
C0064,Customer 064,Small Business,New Delhi,Delhi,North
C0065,Customer 065,Consumer,Noida,Uttar Pradesh,North
C0066,Customer 066,Small Business,Jaipur,Rajasthan,West
C0067,Customer 067,Corporate,Bhubaneswar,Odisha,East
C0068,Customer 068,Corporate,Bengaluru,Karnataka,South
C0069,Customer 069,Corporate,Ludhiana,Punjab,North
C0070,Customer 070,Corporate,Panaji,Goa,West
C0071,Customer 071,Corporate,Hyderabad,Telangana,South
C0072,Customer 072,Consumer,Ranchi,Jharkhand,East
C0073,Customer 073,Consumer,Bhubaneswar,Odisha,East
C0074,Customer 074,Small Business,Ludhiana,Punjab,North
C0075,Customer 075,Consumer,Bengaluru,Karnataka,South
C0076,Customer 076,Small Business,New Delhi,Delhi,North
C0077,Customer 077,Small Business,Kochi,Kerala,South
C0078,Customer 078,Consumer,Panipat,Haryana,North
C0079,Customer 079,Corporate,New Delhi,Delhi,North
C0080,Customer 080,Small Business,Panaji,Goa,West
C0081,Customer 081,Consumer,Bhubaneswar,Odisha,East
C0082,Customer 082,Corporate,Mumbai,Maharashtra,West
C0083,Customer 083,Corporate,Panipat,Haryana,North
C0084,Customer 084,Small Business,Bhubaneswar,Odisha,East
C0085,Customer 085,Consumer,Ludhiana,Punjab,North
C0086,Customer 086,Small Business,Mumbai,Maharashtra,West
C0087,Customer 087,Corporate,Panipat,Haryana,North
C0088,Customer 088,Small Business,Ahmedabad,Gujarat,West
C0089,Customer 089,Consumer,Noida,Uttar Pradesh,North
C0090,Customer 090,Corporate,New Delhi,Delhi,North
C0091,Customer 091,Corporate,Bengaluru,Karnataka,South
C0092,Customer 092,Small Business,Ahmedabad,Gujarat,West
C0093,Customer 093,Small Business,Jaipur,Rajasthan,West
C0094,Customer 094,Consumer,Jaipur,Rajasthan,West
C0095,Customer 095,Consumer,Bhubaneswar,Odisha,East
C0096,Customer 096,Corporate,Ahmedabad,Gujarat,West
C0097,Customer 097,Small Business,Hyderabad,Telangana,South
C0041,Unknown customer,Consumer,Kolkata,West Bengal,East
C0098,Customer 098,Consumer,Panaji,Goa,West
C0099,Customer 099,Small Business,Noida,Uttar Pradesh,North
C0100,Customer 100,Consumer,Kochi,Kerala,South
C0101,Customer 101,Small Business,Ranchi,Jharkhand,East
C0102,Customer 102,Corporate,Jaipur,Rajasthan,West
C0103,Customer 103,Small Business,Patna,Bihar,East
C0104,Customer 104,Small Business,Panaji,Goa,West
C0105,Customer 105,Consumer,Mumbai,Maharashtra,West
C0106,Customer 106,Small Business,Panaji,Goa,West
C0107,Customer 107,Consumer,Kochi,Kerala,South
C0108,Customer 108,Consumer,Ranchi,Jharkhand,East
C0109,Customer 109,Small Business,Panipat,Haryana,North
C0110,Customer 110,Corporate,Bhubaneswar,Odisha,East
C0111,Customer 111,Corporate,Patna,Bihar,East
C0112,Customer 112,Consumer,Mumbai,Maharashtra,West
C0113,Customer 113,Corporate,Bengaluru,Karnataka,South
C0114,Customer 114,Consumer,Mumbai,Maharashtra,West
C0115,Customer 115,Small Business,Jaipur,Rajasthan,West
C0116,Customer 116,Small Business,Ludhiana,Punjab,North
C0117,Customer 117,Small Business,Ranchi,Jharkhand,East
C0118,Customer 118,Corporate,Panaji,Goa,West
C0119,Customer 119,Small Business,Mumbai,Maharashtra,West
C0120,Customer 120,Corporate,Noida,Uttar Pradesh,North
C0121,Customer 121,Corporate,Panaji,Goa,West
C0122,Customer 122,Corporate,Ranchi,Jharkhand,East
C0123,Customer 123,Consumer,New Delhi,Delhi,North
C0124,Customer 124,Corporate,Panipat,Haryana,North
C0125,Customer 125,Corporate,Chennai,Tamil Nadu,South
C0126,Customer 126,Consumer,Ranchi,Jharkhand,East
C0127,Customer 127,Consumer,Noida,Uttar Pradesh,North
C0128,Customer 128,Corporate,Mumbai,Maharashtra,West
C0129,Customer 129,Small Business,Noida,Uttar Pradesh,North
C0130,Customer 130,Consumer,Kolkata,West Bengal,East
C0131,Customer 131,Small Business,Panaji,Goa,West
C0132,Customer 132,Small Business,Bhubaneswar,Odisha,East
C0133,Customer 133,Corporate,Chennai,Tamil Nadu,South
C0134,Customer 134,Consumer,Chennai,Tamil Nadu,South
C0135,Customer 135,Small Business,Bhubaneswar,Odisha,East
C0136,Customer 136,Consumer,Bhubaneswar,Odisha,East
C0137,Customer 137,Small Business,Bengaluru,Karnataka,South
C0138,Customer 138,Consumer,Mumbai,Maharashtra,West
C0139,Customer 139,Small Business,Mumbai,Maharashtra,West
C0002,Customer 002,Consumer,Patna,Bihar,East
C0003,Customer 003,Corporate,New Delhi,Delhi,North
C0004,Customer 004,Small Business,Patna,Bihar,East
C0005,Customer 005,Consumer,Ranchi,Jharkhand,East
C0006,Customer 006,Consumer,Panaji,Goa,West
C0007,Customer 007,Corporate,Bengaluru,Karnataka,South
C0008,Customer 008,Corporate,Panaji,Goa,West
C0009,Customer 009,Consumer,Chennai,Tamil Nadu,South
C0010,Customer 010,Corporate,Noida,Uttar Pradesh,North
C0011,Customer 011,Consumer,Bengaluru,Karnataka,South
C0012,Customer 012,Small Business,New Delhi,Delhi,North
C0013,Customer 013,Small Business,Bhubaneswar,Odisha,East
