inventory_id,product_id,stock_level,reorder_level,warehouse,inventory_date
INV00001,P0002,434.00,66,Delhi Wh,2025-03-31
INV00002,P0023,51.00,76,Kolkata Wh,2025-03-31
INV00003,P0028,326.00,43,Kolkata Wh,2025-03-31
INV00004,P0037,62.00,113,Mumbai Wh,2025-03-31
INV00005,P0059,85.00,126,Kolkata Wh,2025-03-31
INV00006,P0050,206.00,131,Bengaluru Wh,2025-03-31
INV00007,P0056,241.00,36,Kolkata Wh,2025-03-31
INV00008,P0038,47.00,109,Kolkata Wh,2025-03-31
INV00010,P0055,230.00,73,Pune Wh,2025-03-31
INV00011,P0072,372.00,78,Pune Wh,2025-03-31
INV00012,P0008,280.00,43,Mumbai Wh,2025-03-31
INV00013,P0014,473.00,44,Mumbai Wh,2025-03-31
INV00014,P0032,72.00,97,Bengaluru Wh,2025-03-31
INV00015,P0073,480.00,122,Delhi Wh,2025-03-31
INV00016,P0049,318.00,81,Delhi Wh,2025-03-31
INV00017,P0026,190.00,86,Kolkata Wh,2025-03-31
INV00018,P0062,372.00,72,Pune Wh,2025-03-31
INV00019,P0019,435.00,33,Pune Wh,2025-03-31
INV00020,P0068,142.00,104,Delhi Wh,2025-03-31
INV00021,P0030,229.00,109,Delhi Wh,2025-03-31
INV00023,P0020,204.00,143,Pune Wh,2025-03-31
INV00024,P0048,207.00,72,Pune Wh,2025-03-31
INV00025,P0018,347.00,137,Pune Wh,2025-03-31
INV00026,P0035,402.00,113,Kolkata Wh,2025-03-31
INV00027,P0025,35.00,111,Bengaluru Wh,2025-03-31
INV00028,P0075,140.00,102,Kolkata Wh,2025-03-31
INV00029,P0012,265.00,124,Delhi Wh,2025-03-31
INV00030,P0005,410.00,92,Mumbai Wh,2025-03-31
INV00031,P0057,114.00,134,Pune Wh,2025-03-31
INV00032,P0043,24.00,76,Bengaluru Wh,2025-03-31
INV00033,P0051,220.00,57,Bengaluru Wh,2025-03-31
INV00034,P0011,111.00,33,Pune Wh,2025-03-31
INV00035,P0065,452.00,74,Bengaluru Wh,2025-03-31
