order_id,order_date,customer_id,product_id,supplier_id,quantity,sales_amount,cost_amount,order_status,profit
O00001,2025-11-08,C0045,P0010,S021,14,16461.93,14993.58,Delivered,1468.35
O00002,2025-04-27,C0058,P0016,S003,11,53099.46,44055.22,Delivered,9044.24
O00037,2025-05-02,C0118,P0061,S024,1,6976.05,4686.22,Delivered,2289.83
O00038,2025-12-14,C0022,P0041,S019,10,56537.01,38058.20,Delivered,18478.81
O00039,2025-06-13,C0120,P0033,S021,14,47393.56,41348.58,Delivered,6044.98
O00040,2025-03-31,C0050,P0050,S003,13,153266.46,96572.19,Delivered,56694.27
O00041,2025-05-16,C0014,P0068,S012,3,31430.57,20860.50,Delivered,10570.07
O00042,2025-07-05,C0029,P0071,S019,14,121470.77,95006.94,Delivered,26463.83
O00043,2025-11-12,C0125,P0033,S019,11,36673.08,32488.17,Delivered,4184.91
O00044,2025-06-27,C0007,P0024,S013,2,13571.78,9990.22,Delivered,3581.56
O00045,2025-01-28,C0029,P0061,S007,2,13171.12,9372.44,Delivered,3798.68
O00046,2025-08-08,C0139,P0061,S015,7,45003.61,32803.54,Delivered,12200.07
O00047,2025-12-23,C0033,P0028,S023,12,86954.68,63106.80,Delivered,23847.88
O00048,2025-02-10,C0134,P0058,S007,10,34396.85,26536.10,Processing,7860.75
O00049,2025-08-16,C0111,P0043,S008,2,28250.42,18368.08,Processing,9882.34
O00050,2025-07-11,C0079,P0041,S005,11,63408.95,41864.02,Delivered,21544.93
O00051,2025-05-25,C0058,P0039,S021,4,8001.61,6119.84,Cancelled,1881.77
O00052,2025-07-20,C0026,P0049,S014,2,18842.08,13037.18,Delivered,5804.90
O00053,2025-07-31,C0029,P0017,S004,6,102420.63,70703.46,Delivered,31717.17
O00054,2025-08-08,C0004,P0070,S023,8,85187.24,56067.76,Cancelled,29119.48
O00055,2025-08-28,C0099,P0070,S010,10,101888.21,70084.70,Delivered,31803.51
O00056,2025-02-15,C0141,P0065,S020,4,2870.98,2265.28,Returned,605.70
O00057,2025-02-04,C0039,P0074,S015,15,133282.45,96877.50,Delivered,36404.95
O00058,2025-09-10,C0015,P0005,S018,5,22218.25,18069.80,Processing,4148.45
O00059,2025-03-23,C0119,P0002,S020,4,55242.38,44668.80,Delivered,10573.58
O00060,2025-09-13,C0029,P0022,S013,3,44864.56,34759.50,Delivered,10105.06
O00062,2025-10-30,C0116,P0066,S009,14,220655.64,162598.94,Processing,58056.70
O00063,2025-01-10,C0032,P0074,S016,9,75462.02,58126.50,Delivered,17335.52
O00064,2025-11-08,C0130,P0016,S019,8,36999.67,32040.16,Returned,4959.51
O00065,2025-10-13,C0084,P0051,S016,8,137422.25,90692.72,Delivered,46729.53
O00066,2025-08-30,C0022,P0039,S007,8,16232.57,12239.68,Delivered,3992.89
O00067,2025-09-08,C0027,P0040,S014,12,17575.39,14308.92,Delivered,3266.47
O00068,2025-12-31,C0081,P0038,S014,8,66245.37,54686.72,Delivered,11558.65
O00069,2025-01-05,C0126,P0060,S025,7,41708.12,28735.00,Cancelled,12973.12
O00070,2025-04-29,C0092,P0059,S004,8,6409.71,4509.28,Delivered,1900.43
O00071,2025-10-16,C0021,P0010,S015,11,13876.60,11780.67,Delivered,2095.93
O00072,2025-03-06,C0047,P0064,S003,14,90547.94,59432.94,Delivered,31115.00
O00073,2025-05-26,C0101,P0063,S005,8,69450.35,48022.80,Delivered,21427.55
O00074,2025-08-12,C0084,P0049,S001,13,124322.78,84741.67,Cancelled,39581.11
O00075,2025-08-27,C0006,P0064,S003,14,89689.68,59432.94,Delivered,30256.74
O00076,2025-06-26,C0147,P0032,S015,8,120245.71,87928.32,Delivered,32317.39
O00077,2025-09-24,C0131,P0007,S024,12,141740.36,102432.48,Returned,39307.88
O00078,2025-12-07,C0001,P0021,S008,10,121068.31,99516.40,Cancelled,21551.91
O00079,2025-10-09,C0058,P0020,S004,7,55425.96,45438.96,Delivered,9987.00
O00080,2025-03-04,C0124,P0026,S002,12,197762.61,139649.88,Delivered,58112.73
O00081,2025-08-05,C0015,P0068,S024,1,10078.37,6953.50,Delivered,3124.87
O00082,2025-12-08,C0064,P0015,S024,4,31205.62,21271.36,Delivered,9934.26
O00083,2025-11-11,C0025,P0014,S010,13,7411.69,5572.32,Cancelled,1839.37
O00084,2025-10-10,C0024,P0027,S004,13,10322.83,7653.10,Processing,2669.73
O00085,2025-06-26,C0012,P0040,S003,4,5870.35,4769.64,Delivered,1100.71
O00086,2025-04-08,C0018,P0058,S002,5,16657.52,13268.05,Delivered,3389.47
O00087,2025-04-15,C0015,P0028,S025,10,78805.34,52589.00,Delivered,26216.34
O00061,2025-07-16,C0075,P0057,S008,5,,12797.70,Delivered,
O00088,2025-04-09,C0027,P0026,S017,6,105184.48,69824.94,Delivered,35359.54
O00089,2025-11-07,,P0063,S023,4,35045.33,24011.40,Delivered,11033.93
O00090,2025-01-06,C0060,P0066,S021,15,245323.38,174213.15,Delivered,71110.23
O00091,2025-07-16,C0145,P0025,S024,2,4409.94,3492.80,Delivered,917.14
O00092,2025-12-17,C0093,P0003,S020,6,22242.08,15516.78,Delivered,6725.30
O00093,2025-05-13,C0053,P0072,S023,15,174227.20,122852.25,Delivered,51374.95
O00094,2025-12-24,C0008,P0044,S013,8,46632.44,33768.16,Delivered,12864.28
O00095,2025-09-16,C0079,P0042,S005,15,38375.37,32796.45,Delivered,5578.92
O00096,2025-01-23,C0027,P0006,S021,8,99089.44,81593.36,Delivered,17496.08
O00097,2025-02-22,C0050,P0039,S009,7,13441.25,10709.72,Delivered,2731.53
O00098,2025-06-14,C0131,P0052,S025,6,69430.38,46039.20,Delivered,23391.18
O00099,2025-07-21,C0093,P0023,S025,2,23810.33,20240.14,Delivered,3570.19
O00100,2025-03-24,C0024,P0050,S022,15,177436.74,111429.45,Processing,66007.29
O00101,2025-05-25,C0060,P0043,S006,7,93032.38,64288.28,Returned,28744.10
O00102,2025-03-26,C0122,P0019,S005,11,7568.43,6183.43,Processing,1385.00
O00103,2025-03-19,C0131,P0069,S025,12,24152.79,19434.12,Delivered,4718.67
O00104,2025-01-01,C0148,P0051,S010,14,226703.45,158712.26,Cancelled,67991.19
O00105,2025-02-20,C0046,P0011,S008,14,132548.80,106007.16,Processing,26541.64
O00106,2025-06-22,C0015,P0012,S007,5,6427.26,4721.00,Delivered,1706.26
O00107,2025-07-24,C0017,P0074,S007,6,54023.09,38751.00,Delivered,15272.09
O00108,2025-09-17,C0126,P0008,S006,10,46038.18,36284.70,Cancelled,9753.48
O00109,2025-10-15,C0084,P0024,S021,8,55000.89,39960.88,Delivered,15040.01
O00110,2025-02-03,C0009,P0041,S020,14,84724.47,53281.48,Delivered,31442.99
O00111,2025-12-14,C0063,P0036,S003,8,87461.24,63356.96,Processing,24104.28
O00112,2025-04-05,C0117,P0072,S019,3,35388.25,24570.45,Processing,10817.80
O00113,2025-03-13,C0130,P0055,S022,12,165769.66,118387.32,Delivered,47382.34
O00114,2025-02-08,C0088,P0009,S015,12,51739.33,37786.32,Delivered,13953.01
O00115,2025-06-03,C0072,P0047,S004,14,53914.18,44864.82,Delivered,9049.36
O00116,2025-09-07,C0139,P0015,S012,7,53580.38,37224.88,Processing,16355.50
O00117,2025-06-11,C0064,P0048,S006,1,14814.82,11207.89,Delivered,3606.93
O00118,2025-04-28,C0072,P0042,S019,1,2478.50,2186.43,Delivered,292.07
O00119,2025-09-16,C0021,P0060,S004,7,42169.72,28735.00,Cancelled,13434.72
O00120,2025-11-02,C0018,P0070,S015,15,149705.59,105127.05,Delivered,44578.54
O00121,2025-09-25,C0064,P0012,S009,15,18206.77,14163.00,Delivered,4043.77
O00122,2025-02-23,C0082,P0002,S005,10,132283.36,111672.00,Delivered,20611.36
O00123,2025-08-24,C0110,P0007,S013,9,101630.46,76824.36,Delivered,24806.10
O00124,2025-08-10,C0095,P0003,S023,7,24630.82,18102.91,Delivered,6527.91
O00125,2025-09-08,C0032,P0003,S018,10,37839.73,25861.30,Delivered,11978.43
O00126,2025-11-09,C0011,P0027,S005,5,4006.63,2943.50,Delivered,1063.13
O00127,2025-04-22,C0045,P0040,S025,8,11696.07,9539.28,Delivered,2156.79
O00128,2025-09-12,C0033,P0033,S016,2,7294.52,5906.94,Processing,1387.58
O00129,2025-10-30,C0102,P0001,S019,9,64566.64,43171.47,Returned,21395.17
O00130,2025-07-26,C0136,P0008,S014,6,29587.99,21770.82,Returned,7817.17
O00131,2025-08-17,C0011,P0032,S025,13,187399.45,142883.52,Delivered,44515.93
O00132,2025-12-07,C0088,P0048,S016,9,138482.65,100871.01,Delivered,37611.64
O00133,2025-03-07,C0041,P0004,S015,2,11468.81,8735.80,Delivered,2733.01
O00134,2025-03-16,C0145,P0070,S022,3,30608.62,21025.41,Cancelled,9583.21
O00135,2025-04-13,C0076,P0019,S004,12,8481.26,6745.56,Delivered,1735.70
O00136,2025-07-11,C0121,P0032,S007,8,116442.88,87928.32,Returned,28514.56
O00137,2025-09-09,C0046,P0009,S016,1,4232.46,3148.86,Delivered,1083.60
O00138,2025-08-14,C0080,P0012,S024,15,17758.79,14163.00,Returned,3595.79
O00139,2025-10-21,C0054,P0011,S022,10,96026.55,75719.40,Cancelled,20307.15
O00140,2025-11-02,C0086,P0046,S021,15,269444.50,170922.45,Processing,98522.05
O00141,2025-04-08,C0092,P0016,S022,15,72118.53,60075.30,Delivered,12043.23
O00142,2025-12-04,C0148,P0001,S021,15,102628.65,71952.45,Delivered,30676.20
O00143,2025-10-13,C0097,P0063,S008,7,57365.22,42019.95,Delivered,15345.27
O00144,2025-12-01,C0002,P0021,S017,7,91108.06,69661.48,Delivered,21446.58
O00145,2025-12-13,C0033,P0030,S016,13,18182.85,13811.07,Delivered,4371.78
O00146,2025-11-04,C0077,P0013,S023,1,1040.43,704.15,Delivered,336.28
O00147,2025-09-06,C0116,P0034,S010,9,31142.48,20484.99,Delivered,10657.49
O00148,2025-06-15,C0150,P0004,S010,8,42942.51,34943.20,Delivered,7999.31
O00149,2025-12-01,C0103,P0028,S002,4,30418.09,21035.60,Delivered,9382.49
O00150,2025-01-30,C0103,P0059,S009,10,8159.19,5636.60,Delivered,2522.59
O00151,2025-09-04,C0090,P0027,S017,11,8558.39,6475.70,Returned,2082.69
O00152,2025-04-16,C0122,P0069,S011,5,10319.03,8097.55,Delivered,2221.48
O00153,2025-02-20,C0143,P0025,S010,2,4145.31,3492.80,Delivered,652.51
O00154,2025-03-22,C0106,P0003,S022,13,48825.55,33619.69,Delivered,15205.86
O00155,2025-05-13,C0119,P0068,S025,9,91788.05,62581.50,Processing,29206.55
O00156,2025-10-12,C0049,P0025,S017,15,30317.35,26196.00,Delivered,4121.35
O00157,2025-05-18,C0104,P0020,S004,12,100482.23,77895.36,Delivered,22586.87
O00158,2025-07-03,C0061,P0034,S016,12,40608.82,27313.32,Delivered,13295.50
O00159,2025-11-26,C0123,P0026,S020,6,103306.08,69824.94,Delivered,33481.14
O00160,2025-09-30,C0134,P0005,S015,3,13764.29,10841.88,Delivered,2922.41
O00161,2025-12-06,C0009,P0061,S025,12,83959.53,56234.64,Returned,27724.89
O00162,2025-03-10,C0006,P0009,S021,7,29487.29,22042.02,Returned,7445.27
O00163,2025-02-03,C0073,P0050,S005,9,104992.01,66857.67,Delivered,38134.34
O00164,2025-09-19,C0103,P0006,S006,3,37499.51,30597.51,Delivered,6902.00
O00165,2025-02-22,C0041,P0060,S017,2,11905.06,8210.00,Delivered,3695.06
O00166,2025-07-24,C0114,P0044,S001,7,38711.41,29547.14,Delivered,9164.27
O00167,2025-05-06,C0008,P0011,S025,7,65021.28,53003.58,Delivered,12017.70
O00168,2025-08-23,C0072,P0066,S019,4,65494.24,46456.84,Delivered,19037.40
O00169,2025-02-12,C0092,P0047,S004,11,39664.33,35250.93,Returned,4413.40
O00170,2025-08-28,C0062,P0073,S017,9,33426.90,26415.09,Returned,7011.81
O00171,2025-04-21,C0084,P0003,S009,14,51618.66,36205.82,Delivered,15412.84
O00172,2025-09-06,C0062,P0030,S024,8,11256.54,8499.12,Delivered,2757.42
O00173,2025-05-31,C0111,P0021,S002,13,159283.50,129371.32,Delivered,29912.18
