shipment_id,order_id,shipping_date,delivery_date,shipping_mode,delivery_status
SH00001,O00001,2025-11-09,2025-11-15,Express,Delayed
SH00002,O00002,2025-04-28,2025-05-07,Standard,Delayed
SH00003,O00003,2025-05-16,2025-05-24,Economy,On Time
SH00004,O00004,2025-02-28,2025-03-08,Standard,Delayed
SH00005,O00006,2025-06-24,2025-07-02,Standard,Delayed
SH00006,O00007,2025-06-12,2025-06-14,Economy,On Time
SH00007,O00008,2025-06-23,2025-06-25,Standard,On Time
SH00008,O00009,2025-11-16,2025-11-18,Express,On Time
SH00009,O00010,2025-10-31,2025-11-05,Standard,On Time
SH00010,O00011,2025-05-30,2025-06-07,Express,Delayed
SH00012,O00013,2025-08-02,2025-08-10,Standard,Delayed
SH00013,O00014,2025-07-23,2025-07-25,Express,On Time
SH00014,O00015,2025-09-11,2025-09-13,Economy,On Time
SH00015,O00016,2025-08-19,2025-08-23,Economy,On Time
SH00016,O00017,2025-06-15,2025-06-20,Express,Delayed
SH00017,O00018,2025-08-17,2025-08-26,Express,Delayed
SH00018,O00019,2025-05-30,2025-06-01,Economy,On Time
SH00019,O00020,2025-01-23,2025-02-01,Standard,Delayed
SH00020,O00021,2025-02-19,2025-02-21,Standard,On Time
SH00021,O00022,2025-08-24,2025-08-29,Express,Delayed
SH00022,O00023,2025-11-02,2025-11-09,Standard,Delayed
SH00023,O00025,2025-05-25,2025-06-04,Same Day,Delayed
SH00024,O00026,2025-01-02,2025-01-09,Same Day,Delayed
SH00025,O00027,2025-02-25,2025-03-05,Standard,Delayed
SH00026,O00028,2025-09-17,2025-09-23,Standard,Delayed
SH00027,O00030,2025-01-15,2025-01-25,Same Day,Delayed
SH00028,O00031,2025-11-28,2025-12-06,Standard,Delayed
SH00029,O00032,2025-08-14,2025-08-23,Standard,Delayed
SH00030,O00035,2025-06-07,2025-06-16,Standard,Delayed
SH00031,O00037,2025-05-03,2025-05-10,Standard,Delayed
SH00032,O00038,2025-12-17,2025-12-22,Same Day,Delayed
SH00033,O00039,2025-06-15,2025-06-21,Express,Delayed
SH00034,O00040,2025-04-03,2025-04-12,Same Day,Delayed
SH00035,O00041,2025-05-18,2025-05-25,Standard,Delayed
SH00036,O00042,2025-07-06,2025-07-10,Standard,On Time
SH00037,O00043,2025-11-15,2025-11-17,Standard,On Time
SH00038,O00044,2025-06-29,2025-07-07,Same Day,Delayed
SH00039,O00045,2025-01-31,2025-02-06,Standard,Delayed
SH00040,O00046,2025-08-09,2025-08-12,Standard,On Time
SH00041,O00047,2025-12-25,,Standard,On Time
SH00042,O00048,2025-02-12,2025-02-15,Standard,On Time
SH00043,O00049,2025-08-19,2025-08-23,Standard,On Time
SH00044,O00050,2025-07-13,2025-07-22,Express,Delayed
SH00045,O00052,2025-07-23,2025-07-26,Same Day,Delayed
SH00046,O00053,2025-08-02,2025-08-06,Standard,On Time
SH00047,O00055,2025-08-31,2025-09-06,Standard,Delayed
SH00048,O00056,2025-02-18,2025-02-26,Same Day,Delayed
SH00049,O00057,2025-02-06,2025-02-10,Standard,On Time
SH00050,O00058,2025-09-11,2025-09-16,Express,Delayed
SH00051,O00059,2025-03-25,2025-04-02,Standard,Delayed
SH00052,O00060,2025-09-15,2025-09-24,Standard,Delayed
SH00053,O00061,2025-07-19,2025-07-23,Standard,On Time
SH00054,O00062,2025-11-01,2025-11-04,Standard,On Time
SH00055,O00063,2025-01-13,2025-01-15,Standard,On Time
SH00057,O00065,2025-10-15,2025-10-19,Economy,On Time
SH00058,O00066,2025-08-31,2025-09-03,Economy,On Time
SH00059,O00067,2025-09-11,2025-09-13,Standard,On Time
SH00060,O00068,2026-01-02,2026-01-04,Express,On Time
SH00061,O00070,2025-05-01,2025-05-04,Standard,On Time
SH00062,O00071,2025-10-18,2025-10-21,Standard,On Time
SH00063,O00072,2025-03-09,2025-03-16,Economy,On Time
SH00064,O00073,2025-05-27,2025-05-30,Standard,On Time
SH00065,O00075,2025-08-30,2025-09-07,Standard,Delayed
SH00066,O00076,2025-06-29,2025-07-06,Economy,On Time
SH00067,O00077,2025-09-25,2025-09-28,Standard,On Time
SH00068,O00079,2025-10-11,2025-10-18,Same Day,Delayed
SH00069,O00080,2025-03-07,2025-03-12,Standard,On Time
SH00070,O00081,2025-08-06,2025-08-09,Same Day,Delayed
SH00071,O00082,2025-12-11,2025-12-21,Standard,Delayed
SH00072,O00084,2025-10-13,2025-10-21,Standard,Delayed
SH00073,O00085,2025-06-28,2025-07-04,Standard,Delayed
SH00074,O00086,2025-04-10,2025-04-13,Standard,On Time
SH00075,O00087,2025-04-16,2025-04-24,Standard,Delayed
SH00076,O00088,2025-04-10,2025-04-14,Express,Delayed
SH00077,O00089,2025-11-10,2025-11-15,Express,Delayed
SH00078,O00090,2025-01-09,2025-01-18,Standard,Delayed
SH00079,O00091,2025-07-19,2025-07-27,Economy,On Time
SH00080,O00092,2025-12-19,2025-12-22,Economy,On Time
SH00081,O00093,2025-05-15,2025-05-25,Express,Delayed
SH00082,O00094,2025-12-26,2026-01-05,Same Day,Delayed
SH00083,O00095,2025-09-18,2025-09-28,Standard,Delayed
SH00084,O00096,2025-01-24,2025-01-28,Same Day,Delayed
SH00085,O00097,2025-02-25,2025-03-06,Economy,Delayed
SH00086,O00098,2025-06-17,2025-06-21,Standard,On Time
SH00087,O00099,2025-07-22,2025-07-24,Express,On Time
SH00088,O00100,2025-03-27,2025-04-03,Economy,On Time
SH00089,O00101,2025-05-26,2025-05-29,Standard,On Time
SH00090,O00102,2025-03-28,2025-04-04,Economy,On Time
SH00091,O00103,2025-03-22,2025-03-31,Economy,Delayed
SH00092,O00105,2025-02-22,2025-03-04,Economy,Delayed
SH00093,O00106,2025-06-23,2025-06-25,Express,On Time
SH00094,O00107,2025-07-27,2025-08-05,Economy,Delayed
SH00095,O00109,2025-10-18,2025-10-25,Standard,Delayed
SH00096,O00110,2025-02-04,2025-02-08,Standard,On Time
SH00097,O00111,2025-12-15,2025-12-20,Express,Delayed
SH00098,O00112,2025-04-06,2025-04-08,Standard,On Time
SH00099,O00113,2025-03-14,2025-03-17,Standard,On Time
SH00100,O00114,2025-02-11,2025-02-15,Standard,On Time
SH00101,O00115,2025-06-06,2025-06-12,Economy,On Time
SH00102,O00116,2025-09-09,2025-09-19,Economy,Delayed
SH00103,O00117,2025-06-13,2025-06-21,Standard,Delayed
SH00104,O00118,2025-04-30,2025-05-07,Same Day,Delayed
SH00105,O00120,2025-11-05,2025-11-09,Standard,On Time
SH00106,O00121,2025-09-27,2025-10-06,Same Day,Delayed
SH00107,O00122,2025-02-26,2025-03-07,Standard,Delayed
SH00108,O00123,2025-08-27,2025-08-29,Standard,On Time
SH00109,O00124,2025-08-12,2025-08-17,Economy,On Time
SH00110,O00125,2025-09-09,2025-09-19,Same Day,Delayed
SH00111,O00126,2025-11-10,2025-11-16,Standard,Delayed
SH00011,O00012,2025-03-23,,Standard,Delayed
SH00112,O00127,2025-04-23,2025-04-30,Standard,Delayed
SH00113,O00128,2025-09-13,2025-09-15,Express,On Time
SH00114,O00129,2025-11-02,2025-11-11,Standard,Delayed
SH00115,O00130,2025-07-27,2025-08-06,Standard,Delayed
SH00116,O00131,2025-08-19,2025-08-29,Standard,Delayed
SH00117,O00132,2025-12-08,2025-12-15,Standard,Delayed
SH00118,O00133,2025-03-08,2025-03-16,Standard,Delayed
SH00119,O00135,2025-04-15,2025-04-20,Standard,On Time
SH00120,O00136,2025-07-14,2025-07-19,Economy,On Time
SH00121,O00137,2025-09-12,2025-09-20,Express,Delayed
SH00122,O00138,2025-08-17,2025-08-24,Standard,Delayed
SH00123,O00140,2025-11-04,2025-11-12,Express,Delayed
SH00124,O00141,2025-04-11,2025-04-19,Express,Delayed
SH00125,O00142,2025-12-06,2025-12-15,Same Day,Delayed
SH00126,O00143,2025-10-15,2025-10-23,Economy,On Time
SH00127,O00144,2025-12-02,2025-12-11,Standard,Delayed
SH00128,O00145,2025-12-15,2025-12-18,Economy,On Time
SH00129,O00146,2025-11-07,2025-11-16,Express,Delayed
SH00130,O00147,2025-09-08,2025-09-14,Express,Delayed
SH00131,O00148,2025-06-17,2025-06-27,Standard,Delayed
SH00132,O00149,2025-12-02,2025-12-08,Standard,Delayed
SH00133,O00150,2025-02-02,2025-02-09,Economy,On Time
SH00134,O00151,2025-09-07,2025-09-17,Express,Delayed
SH00135,O00152,2025-04-19,2025-04-27,Express,Delayed
SH00136,O00153,2025-02-23,2025-03-03,Same Day,Delayed
SH00137,O00154,2025-03-24,2025-03-31,Standard,Delayed
SH00138,O00155,2025-05-14,2025-05-19,Standard,On Time
SH00139,O00156,2025-10-14,2025-10-16,Same Day,Delayed
SH00140,O00157,2025-05-20,2025-05-29,Economy,Delayed
SH00141,O00158,2025-07-05,2025-07-07,Standard,On Time
SH00142,O00159,2025-11-28,2025-12-01,Express,On Time
SH00143,O00160,2025-10-01,2025-10-05,Economy,On Time
SH00144,O00161,2025-12-08,2025-12-15,Express,Delayed
SH00145,O00162,2025-03-11,2025-03-16,Express,Delayed
SH00146,O00163,2025-02-06,2025-02-08,Standard,On Time
SH00147,O00164,2025-09-22,2025-10-02,Standard,Delayed
SH00148,O00165,2025-02-25,2025-03-04,Same Day,Delayed
SH00149,O00166,2025-07-27,2025-08-01,Economy,On Time
SH00150,O00167,2025-05-08,2025-05-17,Standard,Delayed
SH00151,O00168,2025-08-25,2025-08-31,Standard,Delayed
SH00152,O00169,2025-02-13,2025-02-18,Economy,On Time
SH00153,O00170,2025-08-31,2025-09-09,Same Day,Delayed
SH00154,O00171,2025-04-22,2025-04-29,Express,Delayed
SH00155,O00172,2025-09-07,2025-09-15,Express,Delayed
SH00156,O00173,2025-06-03,2025-06-10,Standard,Delayed
SH00157,O00174,2025-07-05,2025-07-10,Standard,On Time
SH00158,O00175,2025-12-05,2025-12-11,Standard,Delayed
SH00159,O00176,2025-04-08,2025-04-15,Express,Delayed
SH00160,O00178,2025-12-28,2025-12-31,Standard,On Time
SH00161,O00179,2025-07-05,2025-07-07,Standard,On Time
SH00162,O00180,2025-10-11,2025-10-20,Standard,Delayed
SH00163,O00181,2025-07-15,2025-07-19,Standard,On Time
SH00164,O00182,2025-12-20,2025-12-22,Standard,On Time
SH00165,O00183,2025-07-16,2025-07-18,Standard,On Time
SH00166,O00184,2025-06-07,2025-06-12,Economy,On Time
SH00167,O00185,2025-04-04,2025-04-06,Same Day,Delayed
SH00168,O00186,2025-06-12,2025-06-19,Same Day,Delayed
SH00169,O00187,2025-03-03,2025-03-06,Same Day,Delayed
